,Term Status,Class Section,Class Title,Instructor,Day,Start_Time,End_Time,Location
3310,22SOpen,MECH 6v29.001,Special Topics in Dynamic Systems and Control - Multi-agent Robotic Systems,Waseem Abbas ,Tuesday,08:30:00,09:45:00,ECSN 2.120
3311,22SOpen,MECH 6v29.001,Special Topics in Dynamic Systems and Control - Multi-agent Robotic Systems,Waseem Abbas ,Thursday,08:30:00,09:45:00,ECSN 2.120
3314,22SOpen,MECH 6v49.002,Special Topics in Manufacturing and Design Innovation - Additive Manufacturing,Wei Li ,Tuesday,11:30:00,12:45:00,ECSW 3.210
3315,22SOpen,MECH 6v49.002,Special Topics in Manufacturing and Design Innovation - Additive Manufacturing,Wei Li ,Thursday,11:30:00,12:45:00,ECSW 3.210
3316,22SOpen,MECH 7393.001,Advanced Mathematics for Mechanical Engineers II,P.L.Stephan Thamban ,Monday,14:30:00,15:45:00,ECSW 3.250
3317,22SOpen,MECH 7393.001,Advanced Mathematics for Mechanical Engineers II,P.L.Stephan Thamban ,Wednesday,14:30:00,15:45:00,ECSW 3.250
3318,22SOpen,MECO 6303.001,Business Economics,Stan Liebowitz ,Thursday,16:00:00,18:45:00,JSOM 2.801
3322,22SOpen,MECO 6350.001,Game Theory,Gary Bolton ,Tuesday,10:00:00,12:45:00,JSOM 2.903
3325,22SOpen,MECO 6360.001,Topics in Industrial Organization - Analysis of Markets&strategies,Jianqing Chen ,Thursday,10:00:00,12:45:00,JSOM 2.903
3326,22SOpen,MECO 7313.001,Applied Econometrics,Alejandro Zentner ,Wednesday,16:00:00,18:45:00,JSOM 12.214
3327,22SOpen,.001,INTRO TO LEADERSHIP,-Staff-,Tuesday,14:00:00,14:50:00,SLC 1.202
3330,22SOpen,.001,INDIV TEAM MILITARY TACTICS,-Staff-,Tuesday,14:30:00,15:50:00,CB 1.102
3341,22SOpen,MIS 6319.501,Enterprise Resource Planning with SAP,Luell Thompson ,Tuesday,19:00:00,21:45:00,JSOM 1.107
3342,22SOpen,MIS 6326.001,Data Management,Abdul Raheem ,Tuesday,16:00:00,18:45:00,JSOM 12.210
3344,22SOpen,MIS 6332.501,ERP Configurations and Implementation with SAP,Luell Thompson ,Thursday,19:00:00,21:45:00,JSOM 2.112
3345,22SOpen,MIS 6333.001,Digital Forensics and Incident Management,Tejas Shroff ,Friday,16:00:00,18:45:00,JSOM 2.717
